jenis_MAKANAN,jenis_NONMAKANAN,jenis_TOTAL,daerah_PERDESAAN,daerah_PERDESAANPERKOTAAN,daerah_PERKOTAAN,upah,peng,ump,gk,Cluster
False,False,True,False,True,False,0.3029801324503311,0.19212078053257134,0.18888446409542445,0.32116799833066834,1
False,False,True,False,True,False,0.3029801324503311,0.21445448659803115,0.24135237078859792,0.32116799833066834,1
False,False,True,False,False,True,0.11179635761589402,0.3491530950032754,0.28070330080847794,0.43899175282245634,3
False,False,True,False,False,True,0.11179635761589402,0.3491530950032754,0.28070330080847794,0.45101433732630336,3
False,False,True,False,False,True,0.21117549668874175,0.3968460647532327,0.33802448887076997,0.46029028900303537,3
False,False,True,False,False,True,0.21117549668874175,0.3968460647532327,0.33802448887076997,0.4815427244559507,3
False,False,True,True,False,False,0.11179635761589402,0.20401273730813055,0.28070330080847794,0.40466248201465027,6
False,False,True,True,False,False,0.11179635761589402,0.20401273730813055,0.28070330080847794,0.41958698600721595,6
False,False,True,True,False,False,0.21117549668874175,0.21668066363060953,0.33802448887076997,0.43119223760800307,6
False,False,True,True,False,False,0.21117549668874175,0.21668066363060953,0.33802448887076997,0.4455574669833867,6
False,False,True,False,True,False,0.11179635761589402,0.24521574124246218,0.28070330080847794,0.41440793320732466,1
False,False,True,False,True,False,0.11179635761589402,0.24521574124246218,0.28070330080847794,0.42850747681012075,1
False,False,True,False,True,False,0.21117549668874175,0.2690422203200161,0.33802448887076997,0.43964929478018444,1
False,False,True,False,True,False,0.21117549668874175,0.2690422203200161,0.33802448887076997,0.4564020565777246,1
False,False,True,False,False,True,0.2600993377483443,0.43026894176567765,0.43810702088799836,0.4967353405751914,3
False,False,True,False,False,True,0.2600993377483443,0.43026894176567765,0.43810702088799836,0.5232566039292378,3
False,False,True,False,False,True,0.2189155629139073,0.4662070157351982,0.4905749275811718,0.5311010066943109,3
False,False,True,False,False,True,0.2189155629139073,0.4662070157351982,0.4905749275811718,0.5437350324282223,3
False,False,True,True,False,False,0.2600993377483443,0.2575754931535479,0.43810702088799836,0.4575727724249711,6
False,False,True,True,False,False,0.2600993377483443,0.2575754931535479,0.43810702088799836,0.47836541377829433,6
False,False,True,True,False,False,0.2189155629139073,0.28173142940571294,0.4905749275811718,0.49276703846499126,6
False,False,True,True,False,False,0.2189155629139073,0.28173142940571294,0.4905749275811718,0.5079341778663127,6
False,False,True,False,True,False,0.2600993377483443,0.309436904907337,0.43810702088799836,0.4693697059986752,1
False,False,True,False,True,False,0.2600993377483443,0.309436904907337,0.43810702088799836,0.4920197214060237,1
False,False,True,False,True,False,0.2189155629139073,0.3395830876947745,0.4905749275811718,0.5047605067197876,1
False,False,True,False,True,False,0.2189155629139073,0.3395830876947745,0.4905749275811718,0.5193659451498395,1
False,False,True,False,False,True,0.2706953642384106,0.4698348755532986,0.5474527618319065,0.5496371387462058,3
